Subject	Object	IRI
CHEBI:28793	beta-D-glucan	http://purl.obolibrary.org/obo/CHEBI_28793
CHEBI:28838	lutein	http://purl.obolibrary.org/obo/CHEBI_28838
CHEBI:28868	fatty acid anion	http://purl.obolibrary.org/obo/CHEBI_28868
CHEBI:28918	(R)-adrenaline	http://purl.obolibrary.org/obo/CHEBI_28918
CHEBI:28938	ammonium	http://purl.obolibrary.org/obo/CHEBI_28938
CHEBI:28963	amino sugar	http://purl.obolibrary.org/obo/CHEBI_28963
CHEBI:28965	dicarboxylic acid dianion	http://purl.obolibrary.org/obo/CHEBI_28965
CHEBI:28976	carbonic acid	http://purl.obolibrary.org/obo/CHEBI_28976
CHEBI:29057	keratan	http://purl.obolibrary.org/obo/CHEBI_29057
CHEBI:29067	carboxylic acid anion	http://purl.obolibrary.org/obo/CHEBI_29067
CHEBI:29075	mononucleotide	http://purl.obolibrary.org/obo/CHEBI_29075
CHEBI:29101	sodium(1+)	http://purl.obolibrary.org/obo/CHEBI_29101
CHEBI:29103	potassium(1+)	http://purl.obolibrary.org/obo/CHEBI_29103
CHEBI:29108	calcium(2+)	http://purl.obolibrary.org/obo/CHEBI_29108
CHEBI:29337	azanide	http://purl.obolibrary.org/obo/CHEBI_29337
CHEBI:29340	hydridonitrate(2-)	http://purl.obolibrary.org/obo/CHEBI_29340
CHEBI:29412	oxonium	http://purl.obolibrary.org/obo/CHEBI_29412
CHEBI:29793	hydridodioxygen(1+)	http://purl.obolibrary.org/obo/CHEBI_29793
