IRI	Direct	Inherited
http://purl.obolibrary.org/obo/AfPO_0000345	0	0
http://purl.obolibrary.org/obo/AfPO_0000353	0	0
http://purl.obolibrary.org/obo/AfPO_0000071	0	0
http://purl.obolibrary.org/obo/AfPO_0000126	0	0
http://purl.obolibrary.org/obo/AfPO_0000374	0	0
http://purl.obolibrary.org/obo/AfPO_0000378	0	0
http://purl.obolibrary.org/obo/AfPO_0000379	0	0
http://purl.obolibrary.org/obo/AfPO_0000113	0	0
http://purl.obolibrary.org/obo/AfPO_0000115	0	0
http://purl.obolibrary.org/obo/AfPO_0000195	0	0
http://purl.obolibrary.org/obo/AfPO_0000211	0	0
http://purl.obolibrary.org/obo/AfPO_0000212	0	0
http://purl.obolibrary.org/obo/AfPO_0000213	0	0
http://purl.obolibrary.org/obo/AfPO_0000215	0	0
http://purl.obolibrary.org/obo/AfPO_0000216	0	0
http://purl.obolibrary.org/obo/AfPO_0000241	0	0
http://purl.obolibrary.org/obo/AfPO_0000380	0	0
http://purl.obolibrary.org/obo/AfPO_0000381	0	0
http://purl.obolibrary.org/obo/AfPO_0000382	0	0
http://purl.obolibrary.org/obo/AfPO_0000398	0	0
http://purl.obolibrary.org/obo/AfPO_0000187	0	0
http://purl.obolibrary.org/obo/AfPO_0000225	0	0
http://purl.obolibrary.org/obo/AfPO_0000244	0	0
http://purl.obolibrary.org/obo/AfPO_0000399	0	0
http://purl.obolibrary.org/obo/AfPO_0000401	0	0
http://purl.obolibrary.org/obo/AfPO_0000493	0	0
http://purl.obolibrary.org/obo/AfPO_0000496	0	0
http://purl.obolibrary.org/obo/AfPO_0000411	0	0
http://purl.obolibrary.org/obo/AfPO_0000363	0	0
http://purl.obolibrary.org/obo/AfPO_0000364	0	0
http://purl.obolibrary.org/obo/AfPO_0000400	0	0
http://purl.obolibrary.org/obo/AfPO_0000403	0	0
http://purl.obolibrary.org/obo/AfPO_0000407	0	0
http://purl.obolibrary.org/obo/AfPO_0000492	0	0
http://purl.obolibrary.org/obo/AfPO_0000132	0	0
http://purl.obolibrary.org/obo/AfPO_0000342	0	0
http://purl.obolibrary.org/obo/AfPO_0000332	0	0
http://purl.obolibrary.org/obo/AfPO_0000349	0	0
http://purl.obolibrary.org/obo/AfPO_0000352	0	0
http://purl.obolibrary.org/obo/AfPO_0000371	0	0
http://purl.obolibrary.org/obo/AfPO_0000412	0	0
http://purl.obolibrary.org/obo/AfPO_0000333	0	0
http://purl.obolibrary.org/obo/AfPO_0000425	0	0
http://purl.obolibrary.org/obo/AfPO_0000340	0	0
http://purl.obolibrary.org/obo/AfPO_0000199	0	0
http://purl.obolibrary.org/obo/AfPO_0000188	0	0
http://purl.obolibrary.org/obo/AfPO_0000277	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0601	0	0
http://purl.obolibrary.org/obo/AfPO_0000273	0	0
http://purl.obolibrary.org/obo/AfPO_0000326	0	0
http://purl.obolibrary.org/obo/AfPO_0000274	0	0
http://purl.obolibrary.org/obo/AfPO_0000275	0	0
http://purl.obolibrary.org/obo/AfPO_0000269	0	0
http://purl.obolibrary.org/obo/AfPO_0000127	0	0
http://purl.obolibrary.org/obo/AfPO_0000189	0	0
http://purl.obolibrary.org/obo/AfPO_0000150	0	0
http://purl.obolibrary.org/obo/AfPO_0000149	0	0
http://purl.obolibrary.org/obo/AfPO_0000183	0	0
http://purl.obolibrary.org/obo/AfPO_0000184	0	0
http://purl.obolibrary.org/obo/AfPO_0000185	0	0
http://purl.obolibrary.org/obo/AfPO_0000186	0	0
